DateTime,GenerationUnitCode,AreaDisplayName,GenerationUnitType,Generation_MWh
2014-12-06,18WABO1-12345-D7,Spain (ES),Fossil Hard coal,0.0
2014-12-06,18WABO2-12345-DY,Spain (ES),Fossil Hard coal,404.3
2014-12-06,18WACE3-12345-CD,Spain (ES),Fossil Gas,182.9
2014-12-06,18WACE4-12345-C3,Spain (ES),Fossil Gas,0.0
2014-12-06,18WAL11-12345-AZ,Spain (ES),Hydro Water Reservoir,24.3
2014-12-06,18WAL12-12345-AP,Spain (ES),Hydro Water Reservoir,0.0
2014-12-06,18WAL13-12345-AF,Spain (ES),Hydro Water Reservoir,0.0
2014-12-06,18WAL14-12345-A5,Spain (ES),Hydro Water Reservoir,35.7
2014-12-06,18WAL15-12345-AW,Spain (ES),Hydro Water Reservoir,34.5
2014-12-06,18WAL16-12345-AM,Spain (ES),Hydro Water Reservoir,7.1
2014-12-06,18WAL21-12345-AO,Spain (ES),Hydro Water Reservoir,0.0
2014-12-06,18WAL21B-12345-W,Spain (ES),Hydro Pumped Storage,0.0
2014-12-06,18WAL22-12345-AE,Spain (ES),Hydro Water Reservoir,0.0
2014-12-06,18WAL22B-12345-M,Spain (ES),Hydro Pumped Storage,0.0
2014-12-06,18WALG3TG1-123-9,Spain (ES),Fossil Gas,0.0
2014-12-06,18WALG3TG2-123-2,Spain (ES),Fossil Gas,0.0
2014-12-06,18WALG3TV1-123-0,Spain (ES),Fossil Gas,0.0
2014-12-06,18WALL1-12345-DV,Spain (ES),Fossil Hard coal,0.0
2014-12-06,18WALZ1-12345-BT,Spain (ES),Nuclear,1003.7
2014-12-06,18WALZ2-12345-BJ,Spain (ES),Nuclear,1000.4
2014-12-06,18WAMBITG1-12--P,Spain (ES),Fossil Gas,0.0
2014-12-06,18WAMBITG2-12-CT,Spain (ES),Fossil Gas,0.0
2014-12-06,18WAMBITV-123-CK,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARC3TG1-12-C4,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARC3TG2-12-CY,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARC3TV-123-CP,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARCOS1-123-CR,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARCOS2-123-CJ,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARRU1-1234-CW,Spain (ES),Fossil Gas,0.0
2014-12-06,18WARRU2-1234-CN,Spain (ES),Fossil Gas,0.0
2014-12-06,18WASC1-12345-BD,Spain (ES),Nuclear,1007.8
2014-12-06,18WASC2-12345-B3,Spain (ES),Nuclear,0.0
2014-12-06,18WBAHITG1-12-CR,Spain (ES),Fossil Gas,134.5
2014-12-06,18WBAHITG2-12-CK,Spain (ES),Fossil Gas,0.0
2014-12-06,18WBAHITV-123-CB,Spain (ES),Fossil Gas,98.5
2014-12-06,18WBEL1-12345-AY,Spain (ES),Hydro Water Reservoir,0.0
2014-12-06,18WBEL2-12345-AO,Spain (ES),Hydro Water Reservoir,31.7
2014-12-06,18WBEL3-12345-AE,Spain (ES),Hydro Water Reservoir,40.2
2014-12-06,18WBES3-12345-C7,Spain (ES),Fossil Gas,0.0
2014-12-06,18WBES4-12345-CY,Spain (ES),Fossil Gas,189.3
2014-12-06,18WBES5TG1-123-2,Spain (ES),Fossil Gas,0.0
2014-12-06,18WBES5TG2-123-W,Spain (ES),Fossil Gas,0.0
2014-12-06,18WBES5TV-1234-K,Spain (ES),Fossil Gas,0.0
