nationalGridBmUnit,elexonBmUnit,eic,fuelType,leadPartyName,bmUnitType,fpnFlag,bmUnitName,leadPartyId,demandCapacity,generationCapacity,productionOrConsumptionFlag,transmissionLossFactor,workingDayCreditAssessmentImportCapability,nonWorkingDayCreditAssessmentImportCapability,workingDayCreditAssessmentExportCapability,nonWorkingDayCreditAssessmentExportCapability,creditQualifyingStatus,demandInProductionFlag,gspGroupId,gspGroupName,interconnectorId
ABERU-1,E_ABERDARE,,,UK Power Reserve Limited,E,True,Aberdare Power Station,UKPR,0.000,15.400,C,0.0167661,0.000,0.000,6.160,6.160,True,False,_K,South Wales,
ABRBO-1,T_ABRBO-1,48W00000ABRBO-19,WIND,Aberdeen Offshore Wind Farm,T,True,ABRBO-1,ABERDEEN,-2.000,99.000,P,-0.0200357,-0.800,-0.800,39.600,39.600,True,False,,,
ABRTW-1,E_ABRTW-1,48W00000ABRTW-1Z,WIND,Npower Commercial Gas Limited,E,True,Auchrobert Wind Farm,NPOWER02,-10.000,36.000,C,-0.0066390,-4.000,-4.000,14.400,14.400,True,False,_N,South Scotland,
ACHLW-1,C__PSMAR001,,WIND,Smartestenergy Limited,S,True,C__PSMAR001-AAA-ACH-183,SMARTEST,0.000,11.282,C,-0.0200357,0.000,0.000,2.665,2.665,False,False,_P,North Scotland,
ACHRW-1,T_ACHRW-1,48W00000ACHRW-1O,WIND,Mobius Renewables Gen. (GB2,T,True,AChruach Wind Farm,AIRGEN2,-2.000,42.600,P,-0.0200357,-0.800,-0.800,17.040,17.040,True,False,,,
ACHYW-1,,,WIND,,,,,,,,,,,,,,False,False,,,
AFTOW-1,T_AFTOW-1,,WIND,Afton Wind Farm Limited,T,True,Afton Wind Farm,AFTON,-2.000,50.000,P,-0.0066390,-0.800,-0.800,20.000,20.000,True,False,,,
AG-ADL00B,V__BADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_B,ADELA,0.000,0.000,P,0.0066681,0.000,0.000,0.000,0.000,True,False,_B,East Midlands,
AG-ADL01M,V__MADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_M,ADELA,0.000,0.000,P,-0.0032986,0.000,0.000,0.000,0.000,True,False,_M,Yorkshire,
AG-ADL02G,V__GADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_G,ADELA,0.000,0.000,P,-0.0044771,0.000,0.000,0.000,0.000,True,False,_G,North Western,
AG-ADL03E,V__EADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_E,ADELA,0.000,0.000,P,0.0133452,0.000,0.000,0.000,0.000,True,False,_E,Midlands,
AG-ADL04H,V__JADEL001,,,Adela Energy Ltd,V,True,ADELA_SBMU_J,ADELA,0.000,0.000,P,0.0087752,0.000,0.000,0.000,0.000,True,False,_J,South Eastern,
AG-ADL05H,V__HADEL002,,,Adela Energy Ltd,V,True,V__HADEL002,ADELA,0.000,0.000,P,0.0154722,0.000,0.000,0.000,0.000,True,False,_H,Southern,
AG-AECO01,2__AECOT003,,,ECOTRICITY LIMITED,S,True,ECOT_VPP_10,RENC,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF01,2__ALOND001,48X000000000095K,,EDF Energy Customers Limited,S,True,EDFE Aggregate Eastern 01,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF02,2__ALOND002,,,EDF Energy Customers Limited,S,True,EDFE Aggregate Eastern 02,LENCO,0.000,0.000,C,0.0049362,0.000,0.000,0.000,0.000,False,False,_A,Eastern GSP Group,
AG-AEDF03,2__ALOND003,,,EDF Energy Customers Limited,S,True,EDFE Aggregate East Eng 3,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AEDF04,2__ALOND004,,,EDF Energy Customers Limited,S,True,EDFE Aggregate East Eng 4,LENCO,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AFLX01,2__AFLEX001,,,Flexitricity Limited,S,True,2__AFLEX001,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,False,False,_A,Eastern GSP Group,
AG-AFLX02,2__AFLEX002,,,Flexitricity Limited,S,True,2__AFLEX002,FLEXTRCY,0.000,49.000,C,0.0049362,0.000,0.000,10.290,10.290,False,False,_A,Eastern GSP Group,
AG-AFLX03,2__AFLEX003,,,Flexitricity Limited,S,True,2__AFLEX003,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,1.201,1.201,False,False,_A,Eastern,
AG-AFLX04,2__AFLEX004,,,Flexitricity Limited,S,True,2__AFLEX004,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,2.234,2.234,False,False,_A,Eastern,
AG-AFLX05,2__AFLEX005,,,Flexitricity Limited,S,True,2__AFLEX005,FLEXTRCY,0.000,49.000,C,0.0043990,0.000,0.000,1.867,1.867,False,False,_A,Eastern,
AG-AHAR01,2__APOWQ001,48W000AG-AHAR01L,,Hartree Partners Supply UK,S,True,2__APOWQ001,POWQ,-4.200,7.500,C,0.0043990,-0.010,-0.003,0.017,0.005,False,False,_A,Eastern,
AG-ALIM01,2__ALIME000,,,Limejump Energy Limited,G,False,2__ALIME000,ANGEL,0.000,40.000,C,0.0078652,0.000,0.000,8.800,8.800,False,False,_A,Eastern GSP Group,
AG-ALIM02,2__AANGE001,,,Limejump Energy Limited,S,False,2__AANGE001,ANGEL,-1.000,80.000,C,0.0043990,-0.416,-0.382,33.280,30.568,False,False,_A,Eastern,
AG-ALIM03,2__AANGE002,,,Limejump Energy Limited,S,True,2__AANGE002,ANGEL,0.000,50.000,C,0.0078652,0.000,0.000,11.000,11.000,False,False,_A,Eastern GSP Group,
AG-ALIM04,2__AANGE003,,,Limejump Energy Limited,S,False,2__AANGE003,ANGEL,0.000,0.000,C,0.0043990,0.000,0.000,0.000,0.000,False,False,_A,Eastern,
AG-AOCT01,2__AMRCY001,,,Octopus Energy Limited,S,True,2__AMRCY001,MERCURY,-7.980,15.960,C,0.0043990,-2.579,-2.697,5.158,5.394,False,False,_A,Eastern,
AG-ASTK01,2__ASTAT001,,,Statkraft Markets Gmbh,S,True,STAT_A2,STATKRA1,0.000,20.000,C,0.0043990,0.000,0.000,4.400,4.400,False,False,_A,Eastern,
AG-ASTK02,2__ASTAT002,,,Statkraft Markets Gmbh,S,True,STAT_A3,STATKRA1,0.000,20.000,C,0.0043990,0.000,0.000,0.010,0.010,False,False,_A,Eastern,
AG-ASTK03,2__ASTAT003,,OTHER,Statkraft Markets Gmbh,S,True,STAT_A4,STATKRA1,-4.000,42.000,C,0.0043990,-1.172,-0.586,12.310,6.153,False,False,_A,Eastern,
AG-ASTK04,2__ASTAT004,,,Statkraft Markets Gmbh,S,True,STAT_A5,STATKRA1,-5.000,5.000,C,0.0043990,-2.080,-1.911,2.080,1.911,False,False,_A,Eastern,
AG-ASTK05,2__ASTAT005,,,Statkraft Markets Gmbh,S,True,STAT_A6,STATKRA1,-52.000,50.000,C,0.0043990,-0.395,-0.390,0.380,0.375,False,False,_A,Eastern,
AG-ASTK06,2__ASTAT006,,,Statkraft Markets Gmbh,S,True,STAT_A7,STATKRA1,-2.000,20.000,C,0.0043990,-0.001,0.000,0.006,0.000,False,False,_A,Eastern,
AG-ASTK07,2__ASTAT007,,,Statkraft Markets Gmbh,S,True,STAT_A8,STATKRA1,-2.000,20.000,C,0.0043990,-0.001,0.000,0.012,0.000,False,False,_A,Eastern,
AG-ASTK08,2__ASTAT008,,,Statkraft Markets Gmbh,S,True,STAT_A9,STATKRA1,-16.000,16.000,C,0.0043990,-0.144,-0.170,0.144,0.170,False,False,_A,Eastern,
AG-ASTK09,2__ASTAT009,,,Statkraft Markets Gmbh,S,True,STAT_A10,STATKRA1,-12.000,12.000,C,0.0043990,-4.992,-4.585,4.992,4.585,False,False,_A,Eastern,
AG-ASTK99,2__ASTAT099,,,Statkraft Markets Gmbh,S,True,STAT_A99,STATKRA1,-6.000,8.000,C,0.0043990,-2.496,-2.293,3.328,3.057,False,False,_A,Eastern,
AG-AUKP01,2__AUKPR001,,,UK Power Reserve Limited,S,True,UKPR East,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AUKP02,2__AUKPR002,,,UK Power Reserve Limited,S,True,2__AUKPR002,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AUKP03,2__AUKPR003,,,UK Power Reserve Limited,S,True,2__AUKPR003,UKPR,-1.000,20.000,C,0.0043990,-0.416,-0.382,8.320,7.642,False,False,_A,Eastern,
AG-AXL00K,V__KAXLE001,,,Axle Energy Limited,V,True,V__KAXLE001,AXLEENER,0.000,0.000,C,0.0217596,0.000,0.000,0.000,0.000,False,False,_K,South Wales,
